rollNo,studentName,math,physics,chemistry,grade
578360,Katie Hicks,53,18,100,C
521302,Alexander Thomas,80,99,48,B+
586062,Sarah Grimes,98,51,66,B+
515384,Elizabeth Hernandez,39,51,48,D
586357,Brian Walker,14,74,21,D
513091,Ricky Erickson,11,75,50,D
579932,Sheena Stewart,10,67,10,F
547005,Desiree Goodman,14,19,29,F
573532,Timothy Goodwin,42,64,70,C
506751,Justin Graham,79,13,56,D
553865,Brandy Bradshaw,99,57,80,B+
553276,Franklin Underwood,85,88,58,B+
552810,Brandon Miller,23,78,57,C
524710,Joshua Aguirre,76,15,55,D
500333,Samuel Tyler,18,49,76,D
590122,Paul Murray,47,74,54,C
506171,Ryan Lopez III,95,45,96,B+
546276,Kevin Parker,44,93,16,C
584366,Lisa Jones,30,91,53,C
577610,Helen Ramos,96,18,58,C
589849,Samantha Craig,14,45,10,F
577378,Kristie Shelton,64,77,13,C
543744,Brittany Miles,49,88,86,B+
547711,Eric Richardson,44,10,73,D
535974,Kristina Baker,65,36,95,B
503099,Troy Berger,98,36,23,C
594389,Lindsay Robinson,65,38,44,D
559020,Nathan Wood,26,60,53,D
579766,Scott Welch,22,99,41,C
587225,Claire Wilson,24,100,24,D
573565,Jennifer Mccann,46,51,68,C
582764,Eric Randall,37,90,10,D
589079,Laura Reese,66,59,86,B
571808,Dylan Wiggins,72,17,18,D
584820,Christopher Miller,89,72,84,A
572717,Michael Dominguez,99,48,90,B+
551424,Michael Sellers,77,56,34,C
573716,Aaron Miller,85,70,63,B+
512991,Barbara Thomas,51,10,43,D
516583,Robin Davis,99,14,88,B
526112,Keith Morales,54,56,100,B
530028,Patricia Johnson,86,67,47,B
528963,Mrs. Jeanne Wagner DDS,100,72,17,B
518743,Sarah Richardson,44,76,67,B
563174,Kathleen Scott,28,17,55,D
569750,Wendy Adams,65,93,46,B
539261,Christina White,35,13,36,F
581756,Zachary Pope,38,69,18,D
591732,Carlos Johnson,52,58,77,B
530032,Benjamin Anderson,45,74,34,C
573950,David Hernandez,95,37,77,B
559689,John Robinson,39,75,93,B
533676,Brandon Smith,33,79,91,B
537846,Wanda Chen,48,88,36,C
549302,Joseph Arias,50,32,97,C
542106,Todd Randall,60,64,53,C
568013,Sally Barry,26,38,18,F
550272,Kimberly Nielsen,22,54,90,C
523446,Ashley Fitzgerald,68,22,47,D
564800,Jason Cole,69,57,97,B+
551909,Kayla Drake,11,39,43,F
532022,Tanya Peters,57,79,42,C
592485,Nicholas Garcia,93,30,71,B
556331,Margaret Cooley,21,71,13,D
573333,Tiffany Ford,58,14,98,C
595168,Alexandra Stephens,29,33,27,F
595237,Jerry Ware,26,23,19,F
554535,Diane Meyer,31,92,80,B
563231,Mitchell Bean,76,12,43,D
549913,Lee Howard,72,85,75,B+
553728,Emily Garcia,88,42,36,C
532885,Samantha Rivera,77,91,94,A
563698,Amanda Lozano,53,92,59,B
534424,Steve Thompson,39,62,24,D
573452,Sonya Kirk,16,73,43,D
599106,Christopher Morris,23,30,61,D
592914,William Lucero,89,54,46,B
558254,Alexis Long,59,47,38,D
516444,Doris Davis,95,20,89,B
567090,Robert Diaz,80,31,72,B
517735,Kim Simmons,90,33,46,C
522874,Richard Sharp,99,80,72,A
514748,Michael Tucker,80,98,75,A
530232,Robert Townsend,89,62,19,C
592777,Patricia Thomas,78,29,86,B
595242,Steven Hurst,11,53,87,D
561398,Andrew Jones,11,33,11,F
512772,Marissa Gamble,43,11,81,D
531662,Emily Cisneros,68,62,100,B+
530144,Randall Myers,55,54,80,B
535482,Charles Smith,99,21,35,C
531998,Amy Johnson,85,51,51,B
543394,Aaron Herrera,56,59,35,D
501237,Kristina Rogers,99,71,18,B
512626,Sarah Harrison,79,10,33,D
597345,Monica Fisher,100,22,26,D
516149,Joshua Aguirre,27,69,15,D
525675,Maria Sanchez,95,30,93,B+
562731,Kendra Anderson,16,33,70,D
544887,Jenna Barrera,70,92,56,B+
518229,David Howard,59,70,37,C
581450,Evelyn Ferrell,100,82,35,B+
552154,Yesenia Burke,78,55,52,B
589263,Jason Richardson,51,35,86,C
542966,Aaron Roy,37,72,28,D
518585,Lucas Jackson,59,22,54,D
510013,Alyssa Moore,66,28,81,C
548078,John Garcia,99,33,57,B
558471,Yesenia Miller,55,57,45,C
544209,Joel Wood,23,79,49,D
551109,Madison Taylor,49,31,10,F
570557,Anita Hamilton,35,52,40,D
504373,Monica Blake,98,94,58,A
505306,Melanie Norman,70,13,77,C
559895,Joanna Mueller,75,36,50,C
531253,Mindy Wilson,31,10,91,D
563807,Thomas Smith,11,50,20,F
583449,Andrew Adams,26,67,70,C
501778,Sherry Bennett,70,84,71,B+
527443,Kenneth Ruiz,99,42,81,B+
570561,Richard Lee,67,34,100,B
542435,Jessica Paul,90,31,61,C
505034,Katherine Watkins,70,33,97,B
563025,James Martinez,19,89,79,B
506525,Katrina Huff,61,19,23,D
598806,Melinda Berger,47,39,86,C
598065,Tammy Shaw,70,61,54,B
526669,Taylor Vang,36,82,81,B
507699,Justin Mitchell,59,44,60,C
570631,Mr. James Rogers,55,44,12,D
562911,Sabrina Fernandez,32,71,86,B
561711,Michelle Rivera,35,18,76,D
505308,Amy Sosa,14,60,47,D
574957,Dr. Marissa Frederick,27,54,80,C
518646,David Nunez,30,86,68,B
526734,Scott Taylor,26,94,69,B
529097,Brianna Vasquez,27,51,64,D
510404,Philip Mays,16,32,53,D
591288,Damon Holden DDS,67,97,40,B
553354,Sandra Cruz,14,51,46,D
596403,James Jackson,38,41,47,D
513078,Brandon Ramos,97,80,47,B+
508753,Jacqueline Baker,98,19,85,B
533681,Leroy Mills,93,53,84,B+
565895,Ms. Emily Montgomery,97,32,10,D
596529,John Doyle,16,100,31,D
563621,Andrea Huerta,85,30,79,B
523915,Daniel Lopez,10,77,98,B
543422,Timothy Smith,41,88,68,B
509970,Timothy Garrett,10,91,25,D
511229,April Thompson,32,10,91,D
508756,Renee Coleman,20,99,80,B
511893,John Young,37,43,52,D
511246,William Kirby,20,33,42,F
542948,Brittany Davis,56,20,55,D
527408,Christine Garrett,97,76,40,B+
509588,Joshua Fernandez,34,99,55,B
554521,Adam Reese,23,97,100,B+
597342,Bryan Morgan,36,15,86,D
515827,Janet Grimes,40,76,48,C
548917,Ronald Carter,51,55,73,C
558142,Ricky Bullock,17,50,49,D
500854,Robert Mooney,41,18,93,D
541738,Steven Steele,49,50,78,C
548349,Holly Moore,90,91,69,A
543701,Evelyn Jones,32,12,57,D
510431,Nancy Jenkins,17,85,57,C
546367,Erin Skinner,88,63,19,C
554649,Christopher Parrish,54,75,61,B
514638,Jeffrey Hebert,37,14,90,D
586958,Dr. Jimmy Bernard,19,92,32,D
520013,Jennifer Rivera,82,45,37,C
581808,James Morgan,61,56,67,B
538357,Joshua Barr,47,96,15,C
535841,Daniel Green,38,90,47,C
599081,Mr. Ian Rivera,33,76,39,D
590221,James Blair,54,99,86,B+
517279,Mathew Freeman,25,99,63,B
510770,Katelyn Torres,61,42,57,C
550421,Sara Hale,76,85,96,A
533500,Margaret Stewart,21,42,80,D
540100,Thomas Wagner,81,51,62,B
527721,Wayne Taylor,77,67,15,C
528474,Theresa Schmidt,14,68,79,C
535576,Melissa Lee,33,14,86,D
517215,Lauren Petersen,37,92,82,B
544362,Mr. Timothy Kelly,98,56,86,B+
578989,Ariel Rose,99,94,15,B
578606,Jonathan Lewis,66,22,20,D
545600,Robert Bradford,63,57,27,D
595631,Kevin Brown,39,73,100,B
591860,Matthew Mccormick,92,80,63,B+
502072,Donald Allen,99,71,37,B
551231,Jade Nguyen,80,91,78,A
575493,Eric Taylor,47,67,83,B
524971,Sierra Williams,84,73,75,B+
578738,Joshua Phelps,97,19,100,B+
563848,Tom Campbell,38,21,72,D
575657,Philip Saunders DVM,19,47,41,D
553947,Melanie Osborn,61,47,62,C
543447,John Williams,39,92,72,B
554830,Colin Raymond,17,92,61,C
505202,Blake Jacobs,63,62,79,B
516096,Mandy Malone,41,48,35,D
580762,Stephanie Henderson,24,30,15,F
535080,Mike Williams,66,55,81,B
597831,Keith Garrett,80,85,78,A
553920,Jeffrey Gomez,74,27,53,C
581845,James Robbins,87,36,72,B
594355,Mark Gonzalez,55,41,31,D
529236,Christopher Flores,17,88,66,C
517156,Ronald Roberts,74,16,89,C
585809,Stephen Hill,55,15,93,C
528370,Brad Brown,66,14,44,D
567815,Lisa Mcclain,88,48,81,B+
544707,Tina Sanchez,92,43,55,B
559365,Dennis Webb,91,91,32,B+
569734,Alison Cruz,10,60,87,C
588359,Kelly Frazier,27,57,47,D
538728,David Miller,12,75,30,D
520219,Laura Carpenter,77,42,96,B+
507116,Kelly Hernandez,21,65,62,D
571058,Debbie Ford,71,18,84,C
580073,Christine Lewis,88,95,71,A
516584,Jonathan Wade,22,39,96,C
530799,Lydia Howard,82,88,82,A
502284,Mrs. Cynthia Gutierrez DVM,40,50,64,C
517011,Dawn Callahan,95,83,81,A
544565,Justin Watkins,43,17,76,D
514790,Anita Buchanan,43,20,66,D
562104,William White,62,74,78,B+
556574,Noah Gordon,24,54,68,D
563947,Sharon Davis,40,15,53,D
589803,Victor Wilson,90,62,63,B+
515358,John Gilbert,28,68,27,D
547014,Joshua Williams,66,24,89,C
528873,Martin Peterson,12,50,84,D
543452,Debra Gonzales,33,20,75,D
593728,Nicole Garcia,57,96,70,B+
521163,Jason Marshall,12,40,13,F
580022,Lauren Clark,26,26,70,D
588941,Eddie Reynolds,47,47,75,C
524264,Meghan Mosley,51,14,99,C
593459,Danielle Swanson,67,62,45,C
560646,Joshua Webster,52,80,33,C
591960,Theodore Hawkins,18,83,59,C
530447,Sally Davis,28,13,72,D
547856,Brandy Glover,59,98,93,A
504346,Tiffany David,94,71,88,A
585379,Pamela Pena,32,59,28,D
565945,Kevin Miller,75,88,67,B+
598885,Christopher Lewis,55,92,32,C
585054,Marvin Scott,78,46,86,B
546249,James Carr,96,74,78,A
522940,Troy Pierce,44,24,49,D
500601,Austin Wallace,99,75,28,B
538067,Franklin Garcia,41,55,94,B
561474,Karen Mitchell,69,47,83,B
519593,Michael Haas,73,34,29,D
553515,Jacob Perry,90,83,62,B+
533978,Robin Krause DDS,57,15,82,C
555567,Richard Copeland,72,90,16,C
500060,Anthony Smith,26,66,94,B
555481,Shane Soto,95,16,74,B
536710,Karen Harmon,90,29,80,B
533575,Mark Beck,47,37,68,D
519696,Aaron White,15,24,94,D
538973,Angela Ali,67,93,35,B
587332,James Mendez,54,88,65,B
578514,April Taylor,93,31,97,B+
576717,Nichole Boyd,59,98,52,B
550920,Ashley Hensley,58,27,69,C
525129,Michaela Powers,10,56,42,D
553961,John Fischer,35,18,69,D
572319,Hannah Hamilton,40,30,88,C
591004,David Spencer,53,25,56,D
503106,Raymond Thomas,56,68,50,C
558239,Eric Acosta,71,50,19,D
511226,Kayla Gray,80,45,66,B
545976,Stephen Wright,42,36,11,F
537818,Rebekah Ruiz,93,75,24,B
555401,Daniel Brown,50,18,39,D
567148,Jeffrey Johnson,64,30,33,D
512417,Terri Torres,64,48,14,D
558584,Lisa Tanner,37,81,14,D
516928,Scott Rodriguez,42,76,68,B
542914,Stacy Spencer,70,45,41,C
509434,Kerri Gill,55,38,26,D
547288,Erica Preston,43,82,16,D
546143,Christopher Simpson,40,82,10,D
520179,Laurie Wilson,71,33,34,D
530709,Maurice Brady,33,51,81,C
542313,Robert Gutierrez,43,70,96,B
566575,Pamela Clark,63,12,26,D
501845,Erica Brown,50,38,30,D
580294,Lisa Mitchell,46,93,81,B+
584747,Julie Summers,53,19,50,D
572657,Steven Yang,13,49,31,F
516823,Nicholas Watkins,86,21,32,D
546623,Janet Grant,67,94,47,B
520830,Amy Jennings,43,25,49,D
504264,Brian Bradley,22,68,18,D
585775,Melissa Conner,15,10,76,D
521265,Adrienne Walsh,56,36,57,D
512670,Kelsey Morris,65,73,70,B
562047,Amber Stephens,41,64,49,C
568937,Nicole Velez,100,18,59,C
501074,David Morris,13,62,18,F
573982,Nicole Stout,73,41,52,C
590818,Michele Johnson,28,56,70,C
508739,Kyle Rodriguez,41,88,38,C
555587,Terry Burch,62,65,27,C
597251,Jason Edwards,70,76,76,B+
539006,Christina Bell,93,35,86,B+
539227,Casey Lamb,92,54,32,C
586597,Amy Smith,15,72,34,D
539531,James Chung,85,61,99,A
551386,Albert Johnson,69,79,22,C
587078,Justin Kim,24,47,10,F
510969,Chad Gonzalez,30,73,21,D
531104,Alex Wong,15,68,48,D
582221,Scott Young,25,65,29,D
538948,Steven Woodward,32,48,60,D
583699,William Marsh,99,72,90,A
519981,Denise Gray,100,55,38,B
523646,Catherine Garrison,63,71,61,B
599520,Charles Reed,10,86,21,D
511800,Amber Singh,35,27,34,F
594500,Stephanie Webb,17,32,80,D
502555,Marissa Lawson,33,65,55,C
591244,Emily Briggs,49,48,37,D
513883,Hannah Perez,45,64,57,C
587286,Alicia Larsen,36,88,28,D
590103,Lisa White,50,52,58,C
519740,Anna Young,92,25,32,D
543350,Diana Harrington,66,59,48,C
545185,Lisa Oneill,44,77,38,C
546774,Mr. Jacob Pena Jr.,77,71,64,B
582542,Gabrielle Adams,74,93,60,B+
571062,Alexandria Parker,51,65,69,B
583749,Matthew Rodriguez,15,29,50,F
518021,Charles Harris,50,10,88,D
569084,Elizabeth Clarke,64,38,61,C
568856,Mr. Marcus Arnold,18,85,34,D
502205,Amber Maxwell,11,39,67,D
569917,Jeffrey Love,87,65,59,B
532528,Sylvia Holder,80,61,65,B
509089,Erin Kaufman,29,61,37,D
594929,Nicholas Bell,27,54,32,D
522384,Christina Jones,26,23,35,F
559283,Nicole Jones,19,58,99,C
505191,Sandra Hernandez,93,17,64,C
566395,Joseph Martinez,25,100,21,D
541747,Cynthia Lozano,14,40,44,F
561743,David Mcdonald,58,60,62,C
506566,George Davis,34,81,13,D
566239,Christopher Kennedy,78,84,32,B
580163,Michael Berry,42,63,46,D
537013,Alicia Franklin,93,75,27,B
554155,Francisco Smith,85,56,58,B
572309,Deborah Huffman,44,93,78,B+
572381,Mr. Jason Black,23,32,94,D
500999,Travis Harrington,97,60,25,C
573462,Brent Black,56,53,96,B
504548,Janet Taylor,22,91,10,D
582059,Tyler Wu,88,23,34,D
596750,Dennis Hahn,80,69,61,B
536994,Claire Smith,50,18,88,C
507251,Dennis Bray,25,61,95,C
506586,Latoya Harris,27,60,73,C
515685,Linda Alexander,39,13,72,D
550884,Katherine Benson,25,32,11,F
525536,Shannon Holmes,62,37,96,B
548667,Jonathan Savage,66,61,63,B
585448,Tamara Erickson,32,95,78,B
524966,Erin Montes,41,11,14,F
516288,Hannah Erickson,45,14,76,D
556338,Katie Wright,16,54,15,F
583868,Nicholas Pearson,88,99,41,B+
568101,Anthony Phelps,38,22,63,D
569004,Adam Casey,31,49,97,C
583882,Jeffrey Garcia,14,66,89,C
516703,Deborah Schmidt,59,87,92,B+
515276,Clayton Ingram,89,77,65,B+
577720,Virginia Simon,58,32,30,D
541898,Amber Barnett,57,46,43,D
526316,Jerry Cox,14,55,29,F
551823,Carrie Fowler,21,82,91,B
598827,Connie Lawrence,20,85,56,C
576820,Ann Black,64,40,65,C
587172,Carolyn Meadows,53,21,92,C
504937,Erik Adams,52,18,42,D
589494,Grant Livingston,64,27,71,C
580537,Sarah Cook,88,98,80,A
593563,Jacob Reyes,39,18,17,F
571111,Chelsea Moore,34,66,90,B
514778,Jessica Carrillo,56,43,96,B
592497,Jack Walker,78,69,33,C
548789,Kevin Kennedy,48,97,15,C
515404,Laurie Perez,59,65,86,B
583382,Dennis Perez,88,84,36,B
503670,Yolanda Butler,91,32,48,C
502317,Cynthia Preston,16,71,11,F
576813,Joel Jacobson,53,97,68,B+
579375,Austin Townsend,45,15,65,D
516647,Dale Pittman,64,20,96,C
520213,Derek Harrington,48,18,49,D
561039,Barbara Johnson,18,33,81,D
519345,Megan White,37,85,98,B+
580563,Daniel Mitchell,18,89,81,B
593766,Patrick Tran,40,80,63,B
569997,Natalie Figueroa,100,74,72,A
550137,Kimberly Lewis,76,85,85,A
537993,Cory Jensen,11,62,10,F
523655,Carrie Wright,42,53,13,D
508277,Brett Hamilton,13,86,80,C
553321,Andrew Castillo,13,88,27,D
562323,Tracy Watkins,62,37,77,C
513530,Andrew Simpson,31,99,34,C
586765,Amanda Young,67,52,41,C
541599,Matthew Wood,87,40,80,B
581344,Crystal Maddox,37,62,85,B
555423,Jeffery Brewer,95,46,28,C
513890,Jeffrey Kirby,38,22,24,F
502651,Richard Stout,58,26,13,F
572447,Rick Gregory,18,36,88,D
541601,Linda Vazquez,68,71,29,C
546541,Brooke Lamb,60,13,36,D
588851,Anita Cook,47,75,17,D
517897,Tony Pham,24,79,80,B
582643,Tracy Williams,51,82,81,B+
550547,Tammy Osborn,92,12,73,C
511783,Kevin Duncan,11,66,15,F
548942,Rachel Humphrey,74,28,87,B
577771,Jasmine Brewer,80,15,14,D
591834,Christopher Brown,86,23,97,B
560375,Brad Cruz,35,28,73,D
500468,Kristy Flynn,52,14,75,D
517480,Matthew Robinson,45,28,68,D
557276,Mr. Jared Marshall,80,81,42,B
525826,Ashley Soto,42,41,82,C
599454,Ashley Brown,67,97,76,B+
569842,Lisa Coffey,98,18,56,C
586675,Duane Brown,62,10,75,D
589613,Debra Martin,45,90,98,B+
588562,Kelly Boyd,48,63,29,D
575341,Kyle Johnson,65,58,71,B
504005,Robert Newman,75,34,84,B
578118,Donald Alvarado,24,68,45,D
557947,John Johnston,38,40,12,F
592003,Mario Thomas,16,68,72,C
595041,Christy Contreras,12,83,38,D
587556,Wendy Gray,96,16,61,C
557159,Marcus Patel,21,31,32,F
532890,John Braun,60,53,11,D
514970,Thomas James,10,71,100,C
595369,Debbie Vargas,77,25,44,D
500122,Greg Hayes,37,93,85,B+
528760,Kathleen Anthony,71,31,44,D
541570,Makayla Carter,91,64,81,B+
571628,Katherine Gallegos,87,65,31,B
508049,Connie Rich,24,100,36,C
509894,Susan Larsen,35,19,35,F
542510,Jeffrey Ortega,63,20,65,D
541469,Mary Vasquez,82,19,78,C
513280,Laura Howard,86,67,59,B
544551,Jose Figueroa,40,51,55,D
588190,Heather Dominguez,87,89,60,B+
585865,Larry Henry,60,12,95,C
544124,Kelly Cummings,92,10,50,D
593788,Amanda Merritt,56,21,32,D
578698,Jacqueline Baxter,25,96,26,D
539339,Stephanie Lester,52,81,63,B
592768,Brett Cross,94,94,19,B
522793,Bradley Patel,39,74,15,D
528692,Keith Mcgee,71,14,87,C
553597,Michael Martin,68,80,56,B
525812,Jose Clark,47,96,69,B
557499,John Benson,36,90,93,B+
595334,Charles Harvey,39,57,23,D
593445,Benjamin Johnson,40,41,37,D
542549,Jennifer Christensen,74,79,32,B
597097,Bianca Sloan,96,12,15,D
570881,Justin Fischer,69,45,76,B
592238,Cameron King,84,14,30,D
576979,Tammy George,11,39,44,F
542926,Amy Wright,67,26,33,D
564119,Theresa Bray,37,10,33,F
541968,John Joseph,32,72,91,B
525316,Andrea Pugh,57,86,80,B+
552335,Robert Ramirez,77,41,27,D
578596,Dorothy Cole,62,90,66,B+
556754,Samantha Holmes,56,15,69,D
556177,Terry Long,15,69,65,D
595304,Katelyn Pollard,58,41,62,C
526723,Taylor Robinson,97,25,46,C
543459,Cynthia Kim,75,72,88,B+
542329,Louis Cunningham,17,43,28,F
580017,Joseph Hendrix,31,47,99,C
509965,Kelly Brown,29,96,41,C
519812,David Keller,82,45,21,D
566325,Amy Gonzales,23,54,11,F
532777,Brandon Navarro,90,88,67,A
549566,Andre Bryant,27,91,35,C
567059,Gregory Allen,69,88,75,B+
518883,Ashley Jones,60,64,67,B
585440,Mark Spence,43,95,33,C
585559,Shannon Ellis,75,17,40,D
570394,Raymond Wilson,76,38,17,D
511827,Allison Benjamin,93,36,76,B
538802,Christopher Parker,98,11,82,B
559639,Stephanie Savage,71,92,31,B
517239,Gregory Brown,29,25,56,D
505255,Melissa Garcia,96,34,73,B
576568,Danielle Boyle,57,58,60,C
507696,Jeanette Lee MD,82,92,88,A
574764,Robert Davis,95,42,52,B
560917,Douglas Lynch,74,34,39,D
569375,John Thomas,82,28,38,D
574556,Cynthia Moore,75,21,41,D
596404,Jennifer Myers,49,28,95,C
542461,Christopher Alexander,52,37,98,B
589352,Christina Schmidt,83,34,89,B
527916,Linda Cooper,46,75,84,B
530064,Terri Cruz,72,45,54,C
532008,Amy Alexander,46,80,40,C
586381,Courtney Anderson,52,21,83,C
553782,Kelsey Acevedo,92,59,36,B
509630,Alexandra Thomas,28,83,81,B
535813,Ann Conway,61,49,98,B
524233,Gabriel Cunningham,46,67,19,D
571543,Joshua Potts,52,49,11,D
560274,Keith Berry,54,75,54,B
523148,Felicia Thomas,96,93,98,A+
507604,Charles Murphy,77,24,93,B
540259,Patty Adkins,35,95,85,B+
592862,Brian Davis,66,90,30,B
595151,Rose Foley,82,51,60,B
591382,Jerry Berry,25,57,56,D
574098,Rachel Zavala,61,75,83,B+
507756,Christopher Bautista,83,63,95,B+
551063,Dr. Melissa Andrews,97,10,24,D
567943,Brendan Martin,88,44,64,B
556859,Christy Faulkner,94,17,100,B
533873,Barbara Castaneda,13,27,30,F
522971,Erin Bell,41,95,81,B+
568542,Mr. Kevin Smith,96,24,91,B
527277,Ricky Beck,76,69,58,B
541332,Melissa Fisher,73,81,69,B+
535590,Terry Ramos,18,57,36,D
536222,Scott Beard,38,78,49,C
527557,Maria Perez,45,16,68,D
503856,Teresa Padilla,65,53,73,B
567304,Dennis Shelton,23,55,40,D
569742,Ebony Harris,96,32,18,D
519796,Barbara Grant,86,82,22,B
535780,Kenneth Gaines,11,26,22,F
505321,Diana Pugh,67,40,49,C
581945,John Bradley,45,74,85,B
572171,Dennis Jimenez,91,71,100,A
580940,Melissa Knight,33,94,10,D
577673,Joseph Bridges,79,44,11,D
516729,Tara Baker,12,40,87,D
553566,Mercedes Mills,25,66,99,B
557410,Brandon Thomas,14,87,75,C
546464,Alexandra King,54,32,93,C
528035,Danielle Miller,61,50,38,D
596202,Isabella Parker,22,54,46,D
567500,Bethany Sanders,92,39,47,C
520549,Jenna Gregory,95,25,29,D
581370,Mark Roberts,49,23,99,C
536654,Rhonda Gonzalez,41,51,12,D
517537,Kelsey Henry,23,58,84,C
574686,Sara Torres,98,40,86,B+
560926,Rebekah Price,16,52,62,D
555431,Linda Mckay,71,33,84,B
573035,Adrian Lamb,74,89,74,B+
553650,Barbara Gray,33,25,35,F
536156,Laurie Gallagher,33,79,41,C
573141,Brandon Baker,24,27,91,D
512125,Julia Gilmore,37,80,58,C
513322,Julia Shepherd,21,61,45,D
553523,Jacob Kelley,75,84,48,B
506423,Leslie Lewis,55,43,72,C
527665,Ian Rivers,62,80,51,B
573537,Evan Hull,96,50,53,B
508046,Christopher Montgomery,86,28,71,B
580314,Charles Sutton,48,100,68,B+
576940,Amanda Cox,43,80,73,B
545636,Brittany Gray,21,98,13,D
574654,Cody Gibson,95,100,85,A+
527606,Becky Bates,23,48,83,C
525377,Richard Davis,44,53,11,D
510610,Shannon Monroe,37,53,65,C
594678,Joshua Murillo,98,54,37,B
523635,Sarah Ward,77,20,93,B
556163,James Jimenez,12,30,39,F
529806,Michael Mccarthy,87,13,32,D
520142,Robin Richardson,59,26,89,C
532403,Carol Rice,76,30,54,C
531820,Anthony Anderson,42,41,25,D
578731,Jessica Jackson,55,60,84,B
526733,Heather Romero,11,78,82,C
513058,Steven Davis,32,18,98,D
538942,Terri Anderson,68,64,26,C
544360,Ashley Walters,96,71,39,B
553187,Jennifer Smith,95,46,42,B
527745,Jesus Wagner,58,99,45,B
522331,Melissa Lee,24,57,38,D
502511,Linda Morales,47,33,27,D
560535,Michael Gentry,47,38,35,D
539538,Corey Matthews,59,11,19,F
582093,Cody Lucas,87,57,15,C
590254,Kristen Evans,63,78,53,B
555772,Albert Woods,22,98,14,D
569395,Jerry Ellis,74,13,58,D
565074,Ralph Davila,36,50,74,C
559609,Christopher Lowe,76,51,67,B
544295,Tyler Harmon,84,90,74,A
595996,Karen Floyd,37,79,81,B
502328,Mark Ibarra,54,83,99,B+
563207,Jon Jones,58,71,63,B
584726,Leah Valdez,90,29,18,D
541946,Dennis Crawford,77,60,85,B+
520357,Leslie Jones,33,61,31,D
501184,Joseph Davis,55,35,88,C
519539,Nicholas Lane,47,30,48,D
597607,David Rangel,45,24,61,D
521213,Dan Wilson,75,99,65,B+
517080,Kevin Hester,68,24,74,C
546141,Jenny Phillips,67,85,78,B+
547627,Rodney Hayden,13,96,67,C
543194,Shane Garcia,94,48,70,B
537231,Jennifer Joyce,16,65,72,C
559191,Barbara Kelley,62,43,29,D
518147,Sarah Dyer,78,97,95,A
529810,Katherine Green,35,97,29,C
528567,John Johnson,50,32,82,C
568339,Mark Farmer,46,85,85,B+
542638,Brian Bond,86,96,86,A
541378,Samantha Villarreal,86,34,54,C
572807,Jonathon Russell,66,34,71,C
548145,Trevor Mann,89,49,40,C
582531,Michelle Henry,63,14,59,D
538201,Regina Evans,43,51,23,D
503378,David Meyer,40,83,50,C
580907,Dr. Robert Hubbard,55,52,48,C
516973,Kelly Sanchez,28,91,13,D
511459,Joseph Hill,43,45,46,D
540151,Angel Lowe,94,71,88,A
559032,Sara Woodward,30,93,10,D
568613,Cynthia Walker,60,69,55,B
578038,Matthew Kelley,92,64,30,B
576408,Mrs. Kathy Tyler DDS,15,56,21,F
527611,Laura Gutierrez,80,91,98,A
557000,Jeffrey Frank,33,84,12,D
555341,John Mcmillan,22,77,78,C
575927,Brett Wallace,43,67,49,C
502707,John Robinson,71,36,45,D
506159,Adam Price,76,25,92,B
582709,Rachel Carter,65,83,38,B
542556,Jeffrey Diaz,38,100,85,B+
518922,Kelsey Nguyen,46,92,20,C
531697,Jamie Edwards,41,29,28,F
590031,Chase Smith,35,15,38,F
587447,Ashley Turner,37,31,83,D
504531,Angel Martinez,23,48,45,D
578827,Adam Myers,13,100,69,C
520061,Nathan Lee,56,96,51,B
537267,Jose Wells,91,19,62,C
556363,Zachary Lee,91,88,17,B
574678,Lauren Hughes,33,18,38,F
512284,Anthony Thomas,29,58,35,D
502038,Javier Gordon,98,14,65,C
575710,Frederick Sullivan,46,89,59,B
597705,Karen Frazier,60,72,18,D
560601,Mrs. Nancy Reyes,75,87,35,B
517502,Jean Noble,56,87,87,B+
598190,Melissa Rodriguez,85,19,37,D
597180,John Robertson,29,63,40,D
582453,Destiny Smith,21,40,46,D
505743,Dr. Robert Waters,11,58,62,D
537623,Scott Horton Jr.,16,57,40,D
541390,Carl Cole,62,45,50,C
594875,James Barrett,85,76,73,B+
564806,Kimberly Blair,60,89,10,C
534869,Joshua Brown,18,56,86,C
576409,Amanda Lindsey,57,33,45,D
564355,Edgar Greer,15,28,29,F
571410,Larry Maddox,42,70,53,C
510759,David Sellers,62,70,46,C
556142,Melissa Kelley,70,31,98,B
526710,Scott Hill,60,27,37,D
569556,Jonathan Crane,95,89,86,A
572666,Autumn Harris,85,15,35,D
532856,Barbara Howell,40,29,31,D
577069,Joshua Pena,74,43,59,C
550192,Miss Kathleen Baird MD,37,12,70,D
505882,Abigail Cruz,25,16,82,D
536322,Jay Campbell,22,30,46,F
583967,Robert Hernandez,79,51,54,B
570840,Jennifer Bolton,67,21,21,D
511260,Scott Wade,48,66,29,D
561616,Bailey Huber,28,27,28,F
509776,Connie Steele,40,24,74,D
515152,James Friedman,65,49,37,D
558132,Martin Fernandez,99,99,22,B+
598112,Mary Johnson,97,75,100,A
518057,Mark Sanchez,10,78,88,C
525607,Dylan Mathis,76,87,13,C
527667,Jason Olsen,23,93,62,C
556397,Gabrielle Ross,47,34,85,C
583152,Brenda Weaver,54,34,81,C
547608,Teresa Mcdonald,42,65,93,B
502635,Ryan Hernandez,69,21,66,C
